S NO,DATE,Invoice & DC Number,Vendor & Customer Name,Transport & Owner Name,VEHICLE NO,Mine & Quarry Name,Material Type,Royalty Owner Name,Net Weight (Tons),Pickup Place,Drop-off Place,RATE,AMOUNT,TAX,T AMOUNT,CREDIET,BALANCE
1,31.08.25,1,ManoReddy Transmining,Raghavendra Minerals,AP39VD6417,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,31.47,Kurnool,Rambilli,4300,135321,5580,140901,,140901
2,31.08.25,2,ManoReddy Transmining,Raghavendra Minerals,AP39VN5666,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,36.24,Kurnool,Rambilli,4300,155832,6300,162132,,303033
3,31.08.25,3,ManoReddy Transmining,Raghavendra Minerals,AP39UB5969,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,36.63,Kurnool,Rambilli,4300,157509,6300,163809,,466842
4,31.08.25,4,ManoReddy Transmining,Raghavendra Minerals,AP39UB1249,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,38.02,Kurnool,Rambilli,4300,163486,6480,169966,,636808
5,31.08.25,5,ManoReddy Transmining,Raghavendra Minerals,AP39VF8189,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,36.99,Kurnool,Rambilli,4300,159057,6300,165357,,802165
6,31.08.25,6,ManoReddy Transmining,Raghavendra Minerals,AP39WB3119,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.71,Kurnool,Rambilli,4300,153553,6300,159853,,962018
7,31.08.25,7,ManoReddy Transmining,Raghavendra Minerals,AP39UC4329,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,36.08,Kurnool,Rambilli,4300,155144,6300,161444,,1123462
8,31.08.25,8,ManoReddy Transmining,Raghavendra Minerals,AP39UV8649,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,36.12,Kurnool,Rambilli,4300,155316,6300,161616,,1285078
9,31.08.25,9,ManoReddy Transmining,Raghavendra Minerals,AP39UA5469,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,37.35,Kurnool,Rambilli,4300,160605,6300,166905,,1451983
10,31.08.25,10,ManoReddy Transmining,Raghavendra Minerals,AP39UM9339,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.04,Kurnool,Rambilli,4300,150672,6300,156972,,1608955
11,31.08.25,11,ManoReddy Transmining,Raghavendra Minerals,AP39TT0666,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.12,Kurnool,Rambilli,6500,228280,4390,232670,,1841625
12,31.08.25,12,ManoReddy Transmining,Raghavendra Minerals,AP39UB5953,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.15,Kurnool,Rambilli,6500,228475,4345,232820,,2074445
13,31.08.25,13,ManoReddy Transmining,Raghavendra Minerals,AP39UB5953,Raghavendra Minerals,EXTRA TONNES,Raghavendra Minerals,3.8,Kurnool,Rambilli,1600,6080,0,6080,,2080525
14,12.09.25,14,ManoReddy Transmining,Raghavendra Minerals,AP39TT0666,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.06,Kurnool,Rambilli,6500,227890,3500,231390,,2311915
15,13.09.25,15,ManoReddy Transmining,Raghavendra Minerals,AP39WC8928,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.07,Kurnool,Rambilli,6500,227955,3500,231455,,2543370
16,13.09.25,16,ManoReddy Transmining,Raghavendra Minerals,AP39WC4896,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.77,Kurnool,Rambilli,6500,232505,3500,236005,,2779375
17,13.09.25,17,ManoReddy Transmining,Raghavendra Minerals,AP39WC4176,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.51,Kurnool,Rambilli,6500,230815,3500,234315,,3013690
18,13.09.25,18,ManoReddy Transmining,Raghavendra Minerals,AP39WC5976,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.27,Kurnool,Rambilli,6500,229255,3500,232755,,3246445
19,22.09.25,19,ManoReddy Transmining,Raghavendra Minerals,AP39UA0099,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.41,Kurnool,Rambilli,6500,230165,3500,233665,,3480110
20,22.09.25,20,ManoReddy Transmining,Raghavendra Minerals,AP39TT0666,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.11,Kurnool,Rambilli,6500,228215,3500,231715,,3711825
21,22.09.25,21,ManoReddy Transmining,Raghavendra Minerals,AP39UB7128,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.24,Kurnool,Rambilli,6500,229060,3500,232560,,3944385
22,22.09.25,22,ManoReddy Transmining,Raghavendra Minerals,AP39UB5953,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.32,Kurnool,Rambilli,4300,151876,6930,158806,,4103191
23,29.09.25,23,ManoReddy Transmining,Raghavendra Minerals,AP39UB7128,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.25,Kurnool,Rambilli,4300,151575,6930,158505,,4261696
24,29.09.25,24,ManoReddy Transmining,Raghavendra Minerals,AP39TZ7128,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.12,Kurnool,Rambilli,4300,151016,6930,157946,,4419642
25,24.10.25,25,ManoReddy Transmining,Raghavendra Minerals,AP39UB7128,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.15,Kurnool,Rambilli,6500,228475,3515,231990,,4651632
26,24.10.25,26,ManoReddy Transmining,Raghavendra Minerals,AP39TT0666,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.13,Kurnool,Rambilli,6500,228345,3513,231858,,4883490
27,25.10.25,27,ManoReddy Transmining,Raghavendra Minerals,AP39UJ7999,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,36,Kurnool,Rambilli,6500,234000,3600,237600,,5121090
28,25.10.25,28,ManoReddy Transmining,Raghavendra Minerals,AP21TE6467,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,31,Kurnool,Rambilli,4600,142600,6696,149296,,5270386
29,25.10.25,29,ManoReddy Transmining,Raghavendra Minerals,AP39U1188,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,31,Kurnool,Rambilli,4300,133300,6696,139996,,5410382
30,25.10.25,30,ManoReddy Transmining,FRIEGHT,AP39U1188,Raghavendra Minerals,RAMALLAKOTA,Raghavendra Minerals,,Kurnool,Rambilli,,,,56000,,5466382
31,02.11.25,31,ManoReddy Transmining,Raghavendra Minerals,AP39UN2169,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.14,Kurnool,Rambilli,4900,172186,6930,179116,,5645498
32,03.11.25,32,ManoReddy Transmining,Raghavendra Minerals,AP39UB5953,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,33.3,Kurnool,Rambilli,4900,163170,6930,170100,,5815598
33,10.11.25,33,ManoReddy Transmining,Raghavendra Minerals,AP39UB5953,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.15,Kurnool,Rambilli,4900,172235,6930,179165,,5994763
34,10.11.25,34,ManoReddy Transmining,Raghavendra Minerals,AP39WC4176,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35,Kurnool,Rambilli,4900,171500,6930,178430,,6173193
35,11.11.25,35,ManoReddy Transmining,Raghavendra Minerals,AP39WC9018,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35,Kurnool,Rambilli,3300,115500,6930,122430,,6295623
36,11.11.25,36,ManoReddy Transmining,Raghavendra Minerals,AP39WC4896,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35,Kurnool,Rambilli,3300,115500,6930,122430,,6418053
37,11.11.25,37,ManoReddy Transmining,Raghavendra Minerals,AP39WC5976,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35,Kurnool,Rambilli,4900,171500,6930,178430,,6596483
38,11.11.25,38,ManoReddy Transmining,Raghavendra Minerals,AP39WH3132,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35,Kurnool,Rambilli,4900,171500,6930,178430,,6774913
39,21.12.25,39,ManoReddy Transmining,Raghavendra Minerals,AP39UA0099,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.2,Kurnool,Rambilli,4350,153120,6300,153120,,6928033
40,21.12.25,40,ManoReddy Transmining,Raghavendra Minerals,AP39TT0666,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.45,Kurnool,Rambilli,4350,154207.5,6300,154207.5,,7082240.5
41,21.12.25,41,ManoReddy Transmining,Raghavendra Minerals,AP39UB7128,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.4,Kurnool,Rambilli,4350,153990,6300,152685,,7234925.5
42,21.12.25,42,ManoReddy Transmining,Raghavendra Minerals,AP39UD0909,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.15,Kurnool,Rambilli,4350,152902.5,6300,152902.5,,7387828
43,21.12.25,43,ManoReddy Transmining,Raghavendra Minerals,AP39UN3348,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.2,Kurnool,Rambilli,4350,153120,6300,153120,,7540948
44,22.12.25,44,ManoReddy Transmining,Raghavendra Minerals,AP39UB7245,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.2,Kurnool,Rambilli,4350,153120,7245,160365,,7701313
45,22.12.25,45,ManoReddy Transmining,Raghavendra Minerals,AP39UB5953,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.3,Kurnool,Rambilli,4350,153555,7245,160800,,7862113
46,22.12.25,46,ManoReddy Transmining,Raghavendra Minerals,AP39VE4028,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.3,Kurnool,Rambilli,4350,153555,7245,160800,,8022913
47,22.12.25,47,ManoReddy Transmining,TRANSPORT,AP39VE4028,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,,Kurnool,Rambilli,,,,252777,,8275690
48,24.12.25,48,ManoReddy Transmining,Raghavendra Minerals,AP39UB7128,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,36.2,Kurnool,Rambilli,4350,157470,7245,164715,,8440405
49,24.12.25,49,ManoReddy Transmining,Raghavendra Minerals,AP39UA0099,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,37.3,Kurnool,Rambilli,4350,162255,7245,169500,,8609905
50,25.12.25,50,ManoReddy Transmining,Raghavendra Minerals,AP39TT0666,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.4,Kurnool,Rambilli,4350,153990,12600,166590,,8776495
51,03.01.26,51,ManoReddy Transmining,Raghavendra Minerals,AP39UA0099,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.1,Kurnool,Rambilli,4350,152685,12600,165285,,8941780
52,03.01.26,52,ManoReddy Transmining,Raghavendra Minerals,AP39UB5953,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.1,Kurnool,Rambilli,4350,152685,10800,163485,,9105265
53,03.01.26,53,ManoReddy Transmining,Raghavendra Minerals,AP39UB7128,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.1,Kurnool,Rambilli,4350,152685,12600,165285,,9270550
54,04.01.26,54,ManoReddy Transmining,Raghavendra Minerals,AP39UB7245,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.1,Kurnool,Rambilli,4350,152685,12600,165285,,9435835
55,04.01.26,55,ManoReddy Transmining,Raghavendra Minerals,AP39TT0666,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35.1,Kurnool,Rambilli,4350,152685,12600,165285,,9601120
56,07.01.26,56,ManoReddy Transmining,Raghavendra Minerals,AP39UA0099,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,34,Kurnool,Rambilli,4350,147900,12600,160500,,9761620
57,07.01.26,57,ManoReddy Transmining,Raghavendra Minerals,AP39UB7128,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,34,Kurnool,Rambilli,4350,147900,12600,160500,,9922120
58,07.01.26,58,ManoReddy Transmining,Raghavendra Minerals,AP39UB5953,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,34,Kurnool,Rambilli,4350,147900,12600,160500,,10082620
59,08.01.26,59,ManoReddy Transmining,Raghavendra Minerals,AP39TU2899,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,34,Kurnool,Rambilli,2700,91800,12600,104400,,10187020
60,08.01.26,60,ManoReddy Transmining,Raghavendra Minerals,AP21TB7029,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,31,Kurnool,Rambilli,2700,83700,11160,94860,,10281880
61,08.01.26,61,ManoReddy Transmining,Raghavendra Minerals,AP39TT0666,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,34,Kurnool,Rambilli,4350,147900,12600,160500,,10442380
62,08.01.26,62,ManoReddy Transmining,Raghavendra Minerals,AP39VD6682,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,34.5,Kurnool,Rambilli,2700,93150,12600,105750,,10548130
63,09.01.26,63,ManoReddy Transmining,Raghavendra Minerals,AP39UB7245,Raghavendra Minerals,Iron Ore,Raghavendra Minerals,35,Kurnool,Rambilli,4350,152250,12600,164850,,10712980
,,,,,,,,,,,,,,,,,
